carat,cut,colour,clarity,depth_percentage,table,x_width,y_width,z_width,price
0.75,Ideal,E,VS2,60.2,57,5.93,5.9,3.56,3192
0.52,Ideal,D,SI1,62.4,56,5.17,5.12,3.21,1720
0.4,Ideal,G,IF,61.5,57,4.72,4.76,2.91,1257
0.43,Premium,D,SI1,62.4,60,4.82,4.79,3,1022
0.3,VeryGood,G,SI1,61,58,4.3,4.32,2.63,432
0.36,Ideal,E,VS2,60.2,56,4.65,4.62,2.79,1080
0.41,Premium,G,SI1,62.6,59,4.77,4.72,2.97,923
1.17,Ideal,G,VVS2,61.7,55,6.77,6.74,4.17,9110
1.09,VeryGood,D,SI2,61.9,61,6.54,6.58,4.06,3890
1,VeryGood,F,SI1,60.3,61,6.38,6.43,3.86,4620
0.62,Ideal,F,SI1,62.7,54,5.47,5.53,3.45,1637
1.25,Ideal,E,SI2,62.3,58,6.86,6.89,4.28,7289
0.34,Premium,E,VS2,62.8,58,4.45,4.43,2.79,956
0.59,Good,I,VS2,63.4,56,5.33,5.37,3.39,1294
0.3,VeryGood,G,VVS2,62.3,59,4.25,4.29,2.66,684
1.01,VeryGood,E,SI2,62,60,6.36,6.41,3.96,4445
0.34,Premium,G,VS2,60.2,58,4.52,4.55,2.73,596
0.43,Ideal,F,VVS1,61,56,4.9,4.87,2.98,1422
0.72,Ideal,G,VS1,61,55,5.81,5.83,3.55,3478
1.03,Ideal,G,SI2,61.7,55,6.48,6.52,4.01,4391
0.53,VeryGood,H,VS1,63.3,56,5.13,5.17,3.26,1561
0.27,VeryGood,E,VVS1,60,58,4.21,4.22,2.53,544
0.53,Ideal,F,VS1,62.3,55,5.18,5.22,3.24,1812
0.7,Ideal,H,VVS1,62.3,58,5.66,5.7,3.54,2866
0.3,VeryGood,E,VS1,60.2,57,4.37,4.3,2.61,653
1.05,VeryGood,I,SI2,62.3,59,6.42,6.46,4.01,3742
1,Premium,I,SI2,61.6,59,6.41,6.34,3.93,3780
0.7,VeryGood,G,SI2,63.2,57,5.66,5.59,3.55,1715
0.71,Ideal,E,SI2,62.3,57,5.66,5.74,3.55,2190
0.7,Premium,D,SI1,59.8,57,5.79,5.74,3.45,2589
0.36,Ideal,H,IF,61.3,57,4.59,4.61,2.82,1163
0.72,Ideal,G,SI1,61.8,56,5.7,5.76,3.55,3048
1.02,Ideal,F,SI2,61,58,6.48,6.51,3.96,4457
0.31,Premium,F,VS2,59.4,58,4.45,4.37,2.62,749
0.73,Ideal,E,SI1,59.1,59,5.92,5.95,3.51,2846
0.23,VeryGood,F,VS2,63.4,56,3.84,3.89,2.45,402
0.34,Good,G,VS2,63.1,57,4.43,4.47,2.81,596
0.4,Ideal,I,SI2,61,58,4.74,4.77,2.9,484
1,VeryGood,E,IF,63.1,56,6.32,6.39,4.01,10954
0.7,Premium,E,SI1,61.9,60,5.67,5.6,3.49,2518
0.53,Good,G,VVS2,64.3,58,5.11,5.15,3.3,1769
1.3,Ideal,H,VVS1,62.8,55.2,6.94,6.97,4.36,9232
0.31,Ideal,G,SI1,61.9,55,4.38,4.41,2.72,493
1.31,VeryGood,H,SI1,60.3,58,7.02,7.1,4.26,7189
0.58,Premium,J,VS2,59.5,62,5.44,5.41,3.23,1233
0.3,VeryGood,I,SI2,63.3,56,4.3,4.26,2.71,450
0.54,VeryGood,H,VVS1,62,57,5.2,5.25,3.24,1846
0.38,Ideal,E,VS1,62.7,55,4.6,4.65,2.9,1000
0.55,Ideal,D,VS2,60.2,56,5.33,5.38,3.22,2459
0.51,VeryGood,F,SI1,62.9,56,5.05,5.1,3.19,1308
1,Premium,G,VS1,59.1,61,6.54,6.48,3.85,6552
1.01,VeryGood,F,VS2,61.1,58,6.45,6.51,3.96,7037
0.34,Ideal,D,VVS2,61.3,56,4.51,4.53,2.77,1054
0.38,Ideal,E,VVS2,62.2,56,4.58,4.65,2.87,1100
0.43,Good,E,SI2,63.6,55,4.8,4.83,3.06,669
0.34,Good,H,VS2,63.7,57,4.42,4.44,2.82,537
0.63,Premium,H,VS1,62.9,60,5.45,5.33,3.39,1921
1.5,Premium,H,SI1,62.7,58,7.27,7.34,4.58,9768
0.3,Premium,G,VVS1,62.8,58,4.3,4.27,2.69,1013
1.22,Good,H,SI2,63.5,56,6.84,6.77,4.32,6250
0.92,Premium,E,SI2,61.7,59,6.27,6.18,3.84,3941
0.31,Ideal,E,VS2,62,56,4.37,4.34,2.7,872
0.71,Premium,G,SI1,62.3,56,5.69,5.65,3.53,2283
1,Ideal,D,SI1,62.7,57,6.34,6.38,3.99,6073
0.43,VeryGood,I,IF,61,56,4.9,4.93,3,998
0.71,Ideal,G,IF,60.9,57,5.74,5.79,3.51,3739
0.3,Ideal,D,VS2,60.9,57,4.34,4.36,2.65,857
0.57,Ideal,H,VVS1,60.9,56,5.36,5.38,3.27,1949
1.21,VeryGood,H,VS1,63.4,55,6.76,6.81,4.3,6973
1.58,VeryGood,H,VS2,61.4,60,7.49,7.44,4.58,10608
1.21,Ideal,I,VS2,62,60,6.77,6.84,4.22,6135
0.41,Premium,G,SI1,61.3,58,4.76,4.8,2.93,719
0.31,Ideal,F,IF,62.1,55,4.34,4.35,2.7,979
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1280
0.34,Ideal,D,VS2,62,54,4.48,4.52,2.79,805
0.38,Ideal,I,SI1,62.3,56,4.58,4.63,2.87,581
1.04,Ideal,I,VS1,63,56,6.44,6.41,4.05,4696
0.34,VeryGood,D,SI1,59.6,59,4.55,4.57,2.72,626
0.35,Good,F,SI2,63.8,56,4.48,4.45,2.85,591
0.33,Ideal,F,VVS2,62.4,55,4.43,4.45,2.77,750
0.33,Ideal,E,SI1,61.5,55,4.46,4.49,2.75,532
1.01,Good,F,SI1,64.2,58,6.31,6.33,4.06,4199
1.22,Ideal,G,VVS2,62.3,56,6.84,6.81,4.25,10221
1.06,Ideal,G,VS1,61.2,56,6.56,6.62,4.03,7790
0.32,Premium,H,VVS2,62.2,58,4.33,4.38,2.71,602
0.32,Good,G,SI2,63.4,55,4.32,4.35,2.75,421
0.72,Premium,H,VS2,60.7,59,5.84,5.8,3.53,2583
0.33,Ideal,H,IF,61.1,56,4.47,4.5,2.74,838
0.59,Premium,E,VS2,62.3,55,5.43,5.39,3.37,1883
1.51,Good,J,VS2,62.8,59,7.17,7.2,4.51,7418
1.01,VeryGood,F,SI1,62.8,58,6.35,6.43,4.01,4759
0.34,Premium,E,SI1,60.7,60,4.48,4.51,2.73,596
1.01,VeryGood,J,SI1,63.3,55,6.34,6.32,4.01,4133
1.02,VeryGood,F,VVS2,59.9,57,6.54,6.59,3.93,9246
0.81,Ideal,F,VVS2,62.2,53.9,5.97,6.01,3.72,4926
1.13,Ideal,F,VVS2,62.1,54,6.67,6.71,4.16,10742
0.3,Ideal,E,VS2,62.1,55,4.32,4.35,2.69,658
1,Premium,D,SI1,62.1,58,6.45,6.34,3.97,5488
1.01,VeryGood,G,VS1,60.5,60,6.44,6.52,3.92,6239
0.59,VeryGood,E,SI2,63.8,57,5.31,5.34,3.4,1286
0.34,Ideal,E,VVS2,60.9,56,4.52,4.54,2.76,838
0.31,Ideal,G,SI2,62.2,54,4.36,4.39,2.72,436
1.2,Premium,F,SI2,62.9,57,6.8,6.72,4.25,5712
1.01,VeryGood,G,IF,60,61,6.41,6.45,3.86,7974
0.32,Ideal,D,VS1,60.2,57,4.45,4.42,2.67,933
0.55,Ideal,G,VS2,62.4,56,5.23,5.25,3.27,1448
0.39,Premium,H,VVS1,61.5,56,4.73,4.7,2.9,990
0.76,Ideal,I,VS2,61.3,56,5.87,5.91,3.61,2793
0.39,Ideal,I,VVS2,60.8,56,4.74,4.76,2.89,849
1.24,Ideal,J,VS2,62.3,56,6.84,6.91,4.28,5443
1.16,VeryGood,I,SI1,62.7,57,6.67,6.76,4.21,4785
1.05,VeryGood,H,SI1,63.2,56,6.51,6.47,4.1,5027
0.46,Ideal,I,VS1,62.3,56,4.93,4.96,3.08,911
1.58,Premium,H,SI2,60.4,58,7.6,7.52,4.57,8887
0.9,Good,F,VS1,62.8,60,6.11,6.15,3.85,4898
0.45,Ideal,H,SI1,61.3,55,4.96,4.99,3.05,790
0.41,Premium,G,SI1,62.5,57,4.72,4.69,2.94,923
0.39,Premium,E,SI1,59.1,59,4.81,4.76,2.83,860
0.32,Ideal,F,VS2,61.9,56,4.41,4.44,2.74,645
0.3,Ideal,G,SI1,61.8,56,4.31,4.34,2.67,487
0.3,Ideal,D,VS1,60.8,56,4.37,4.39,2.66,885
0.64,Ideal,E,SI1,62,56,5.57,5.53,3.44,2089
0.4,Ideal,E,VVS2,61.8,56,4.74,4.77,2.94,1158
1.03,VeryGood,G,SI1,63.1,57,6.45,6.41,4.06,4764
1.25,Good,H,SI1,63.7,58,6.81,6.79,4.33,6783
0.31,Premium,E,VS2,62.7,58,4.31,4.33,2.71,680
1.74,Premium,H,SI1,61.6,59,7.7,7.62,4.72,8653
1,VeryGood,D,SI2,63.5,59,6.35,6.32,4.02,4295
0.5,Ideal,D,VS2,62.3,55,5.11,5.07,3.17,1845
0.33,Ideal,F,VVS1,61.7,57,4.47,4.44,2.75,1021
0.41,VeryGood,E,SI2,63.4,58,4.75,4.71,3,818
0.42,Ideal,G,VVS2,62.7,57,4.73,4.78,2.98,938
0.31,Ideal,E,SI2,61.7,56,4.4,4.35,2.7,558
0.71,Premium,E,SI2,61.8,57,5.73,5.67,3.52,2271
1.01,Premium,D,VS2,59.2,56,6.48,6.43,3.82,6108
0.32,Ideal,D,SI1,62.5,54,4.41,4.39,2.75,756
0.71,Good,F,VS2,63,59,5.59,5.65,3.54,2320
0.34,VeryGood,G,SI1,61.5,56,4.45,4.52,2.76,507
0.55,VeryGood,E,SI1,59.7,60,5.31,5.41,3.2,1559
0.41,Ideal,F,VVS2,62.5,56,4.75,4.72,2.96,1192
0.41,VeryGood,I,VVS1,61.9,57,4.78,4.82,2.97,863
1.1,Fair,D,SI2,64.6,54,6.56,6.49,4.22,4725
0.31,Good,I,SI1,63.3,53,4.3,4.32,2.73,408
0.3,Ideal,I,VS1,62.5,54,4.29,4.32,2.69,473
1.5,Fair,H,VS1,61.7,60,7.37,7.27,4.52,11007
0.3,Ideal,G,VVS2,62.3,57,4.29,4.32,2.68,665
1.01,Premium,J,SI2,63,60,6.38,6.31,4,3421
0.3,Ideal,G,VVS2,61.1,57,4.35,4.32,2.65,878
0.44,Ideal,E,SI1,62.6,56,4.84,4.9,3.05,810
0.36,Ideal,I,VS1,62.1,57,4.54,4.58,2.83,568
0.33,Ideal,D,VS2,62.3,54,4.43,4.46,2.77,667
0.33,Ideal,G,SI1,61.6,56,4.43,4.47,2.74,506
0.82,VeryGood,E,SI1,62,60,5.96,6,3.71,3373
0.66,VeryGood,G,VVS2,60.5,59,5.67,5.72,3.44,2211
1.1,Ideal,I,VS2,61.8,56,6.65,6.6,4.1,4962
0.74,Ideal,D,VS1,61.3,57,5.8,5.84,3.57,3812
0.36,Ideal,I,IF,61.8,55,4.58,4.61,2.84,735
0.6,Ideal,D,SI1,62.2,56,5.44,5.4,3.37,1996
1.15,Good,H,VS1,64.3,54,6.66,6.62,4.27,5935
0.44,Premium,I,VVS2,61.5,57,4.92,4.87,3.01,1063
0.51,Ideal,G,IF,62.4,54,5.12,5.17,3.21,2096
0.7,VeryGood,E,VVS1,62.5,56,5.63,5.7,3.54,3724
0.8,Ideal,D,VS2,61,57,5.96,6,3.65,4170
1,Premium,F,SI2,62.8,57,6.44,6.37,4.02,4155
0.5,VeryGood,E,SI1,59.4,60,5.14,5.16,3.06,1293
0.3,Premium,E,SI1,61.3,60,4.27,4.31,2.63,526
1.04,Ideal,G,VS2,61.3,57,6.53,6.56,4.01,7044
0.7,VeryGood,E,SI1,61,57,5.68,5.73,3.48,2753
0.8,Ideal,F,VS2,62.7,54,5.91,5.95,3.72,3429
0.94,Ideal,D,SI2,62.2,56,6.24,6.27,3.89,5155
0.4,Ideal,E,VVS2,61.6,56,4.74,4.77,2.93,1145
1.01,VeryGood,D,SI1,60.7,58,6.49,6.45,3.93,5422
1.07,Ideal,I,VS2,62.1,56,6.61,6.53,4.08,4764
0.34,Ideal,G,VVS2,62.6,54,4.47,4.44,2.79,995
0.9,VeryGood,G,VS1,61.5,56,6.15,6.2,3.8,4116
0.5,Premium,F,VS2,60.7,58,5.16,5.12,3.12,1654
0.85,Ideal,E,SI1,60.7,57,6.11,6.14,3.72,4181
0.5,VeryGood,J,VS2,63.2,60,5.06,5.01,3.18,1059
0.36,Ideal,G,SI1,61.8,55,4.58,4.61,2.84,725
1.22,Premium,G,VS2,61.2,58,6.81,6.91,4.2,7729
0.71,VeryGood,F,VS2,59.6,56,5.84,5.88,3.49,2994
1.03,Ideal,F,VS1,59,55,6.67,6.62,3.92,7752
0.32,Ideal,D,SI2,61.1,56,4.41,4.39,2.69,612
0.32,Ideal,D,SI1,61.5,56,4.39,4.42,2.71,589
0.39,Ideal,G,SI1,60.7,57,4.69,4.8,2.88,665
0.91,VeryGood,H,VS1,62.7,63,6.1,6.03,3.8,4066
0.7,Good,D,VVS2,63.7,55,5.66,5.61,3.59,3312
0.34,Ideal,F,VVS2,61.8,56,4.47,4.49,2.77,712
0.41,VeryGood,J,VS1,63.2,59,4.7,4.67,2.96,797
1.08,VeryGood,I,VS1,62.5,57,6.51,6.54,4.08,4790
1.23,VeryGood,D,SI1,59.7,58,6.96,7.02,4.17,7799
0.57,VeryGood,E,VS2,62.9,57,5.26,5.29,3.32,1851
0.41,Premium,G,SI1,62.7,55,4.8,4.77,3,923
0.71,Ideal,G,VS2,62.4,54,5.72,5.76,3.58,2762
0.9,Premium,J,VVS1,62,58,6.19,6.11,3.81,3617
0.5,Ideal,D,SI1,62.9,57,5.08,5.06,3.19,1654
0.55,Ideal,G,SI1,61.3,56,5.26,5.31,3.24,1605
1.23,Ideal,H,IF,61.3,57,6.92,6.87,4.23,8585
0.34,Premium,D,SI1,59.7,59,4.57,4.54,2.72,803
0.7,Ideal,E,SI2,62,56,5.71,5.74,3.55,2061
1.02,Premium,G,VVS2,62.2,60,6.43,6.39,3.99,7741
0.31,Premium,D,VS2,61.2,59,4.37,4.32,2.66,942
0.6,VeryGood,G,SI1,63.1,57,5.32,5.41,3.39,1565
0.72,Premium,F,SI1,59.5,62,5.85,5.74,3.45,2670
0.54,Ideal,E,SI1,61.5,55,5.24,5.26,3.23,1778
0.44,Ideal,F,VVS2,60.9,55,4.92,4.96,3.01,1196
0.42,Premium,G,VS1,60.8,59,4.79,4.85,2.93,921
1.03,Good,J,VS2,63.7,56,6.42,6.35,4.07,3795
0.5,Ideal,J,SI1,62.3,55,5.07,5.11,3.17,895
0.32,VeryGood,E,SI1,62,60,4.38,4.43,2.73,486
0.34,Ideal,E,VVS2,62.3,57,4.44,4.48,2.78,835
1.02,Premium,I,VS2,62,58,6.44,6.47,4,4459
1.01,Ideal,I,VVS1,61.7,56,6.42,6.47,3.98,5478
0.54,VeryGood,J,SI1,61.3,55,5.23,5.28,3.22,1080
0.3,Ideal,G,IF,62.1,54,4.3,4.33,2.68,863
0.34,Ideal,G,VS2,61.9,55,4.49,4.53,2.79,596
0.9,VeryGood,E,SI1,63.2,57,6.15,6.12,3.88,3830
0.53,Ideal,H,SI1,61,56,5.23,5.26,3.2,1268
1.22,Premium,I,SI2,62.5,58,6.8,6.76,4.24,5226
0.37,Premium,F,SI1,61.6,59,4.67,4.62,2.86,791
0.38,Premium,I,VS1,61.3,60,4.65,4.62,2.84,898
0.71,VeryGood,F,SI1,61.1,58,5.71,5.77,3.51,2742
0.23,Ideal,G,VVS1,61.9,58,3.93,3.96,2.44,536
0.51,Premium,D,VS2,62.7,59,5.05,5.09,3.18,1716
1.02,VeryGood,F,SI1,62.5,57,6.35,6.41,3.99,4948
0.32,Premium,D,SI1,63,58,4.4,4.36,2.76,756
0.9,VeryGood,G,VS1,61.3,61,6.15,6.25,3.8,4515
0.51,VeryGood,D,SI2,60.3,57,5.15,5.17,3.11,1204
0.25,Ideal,F,VS2,61.7,56,4.04,4.07,2.5,535
0.34,Premium,I,VVS1,62.6,58,4.45,4.47,2.79,626
1.01,Premium,I,SI2,59.6,62,6.56,6.5,3.89,3665
0.5,Ideal,I,SI1,62,55,5.08,5.11,3.16,982
1.02,VeryGood,E,VS2,62.5,57,6.36,6.41,3.99,6816
0.91,Ideal,H,SI2,60.3,57,6.31,6.27,3.79,3363
0.36,Ideal,H,VS2,62.1,55,4.58,4.57,2.84,729
1.58,Premium,F,SI2,60.7,60,7.54,7.51,4.57,6990
0.53,VeryGood,I,VS1,61.6,56.7,5.18,5.21,3.2,1286
1.5,VeryGood,H,SI2,63.3,57,7.27,7.21,4.59,6770
0.41,Ideal,E,VVS2,61,56,4.82,4.79,2.93,1243
0.3,Ideal,E,SI1,62.9,57,4.3,4.25,2.69,675
1.2,Good,I,VS1,61.7,62,6.65,6.74,4.13,5818
0.8,VeryGood,E,SI2,62.4,55,5.88,5.92,3.68,2623
0.44,Ideal,G,VVS1,62,54,4.89,4.91,3.04,1160
0.33,Ideal,F,VS2,61.6,55,4.48,4.45,2.75,854
1.3,Premium,H,VS2,62.4,58,6.92,6.95,4.33,7536
0.4,Ideal,H,SI1,62.6,52,4.73,4.76,2.97,705
0.38,Ideal,G,VS1,62.5,56,4.64,4.58,2.88,998
0.39,Premium,G,VVS1,60.4,59,4.72,4.75,2.86,1095
0.52,Ideal,H,VVS1,62.1,53.8,5.17,5.19,3.21,1767
0.51,Premium,G,SI1,62,56,5.14,5.12,3.18,1250
0.57,VeryGood,F,VVS2,63.2,56,5.28,5.32,3.35,1902
0.51,Ideal,D,VS2,61.2,55,5.17,5.13,3.15,1882
1.5,Premium,J,SI1,61.7,59,7.36,7.32,4.53,7258
1.04,VeryGood,H,SI2,62.9,57,6.39,6.45,4.04,4435
1,Ideal,G,VS2,62.1,57,6.42,6.37,3.97,6612
0.52,Ideal,G,VVS2,60.8,57,5.21,5.16,3.15,2012
0.4,Ideal,J,VS1,61.5,58,4.73,4.76,2.92,633
0.33,Good,F,VS2,63.2,56,4.39,4.41,2.78,666
0.31,Premium,J,SI1,60.9,60,4.38,4.36,2.66,465
0.52,Ideal,D,SI1,60.9,57,5.21,5.17,3.16,1720
1,Premium,H,SI1,62.3,60,6.38,6.34,3.96,4788
1.26,Premium,D,SI2,61.9,58,6.88,6.81,4.24,5412
0.9,Ideal,H,SI1,61.6,56,6.17,6.23,3.82,4740
0.34,Ideal,G,VS2,61.1,55,4.52,4.55,2.77,596
1.39,VeryGood,I,I1,62.6,57,7.1,7.15,4.46,3914
1.5,Good,F,SI2,62.4,55,7.27,7.34,4.56,7738
0.3,Premium,D,VS2,62,58,4.32,4.29,2.67,911
1.15,VeryGood,G,I1,61.2,58,6.74,6.8,4.14,3510
0.7,Good,E,VVS2,60.1,63,5.68,5.71,3.42,2857
0.7,VeryGood,I,VS1,61.4,57,5.72,5.74,3.52,2294
1.17,Premium,F,VS2,60.2,58,6.88,6.85,4.13,8256
0.59,VeryGood,J,VS2,62.1,57,5.34,5.39,3.33,1261
1.01,Premium,G,SI2,60.5,58,6.55,6.47,3.94,4327
1.02,Premium,F,VS2,62.7,59,6.41,6.44,4.03,6220
1.01,Ideal,E,SI1,61.6,57,6.44,6.49,3.98,5206
1.21,Ideal,I,VVS1,61.6,55,6.88,6.8,4.21,7086
1.02,Premium,F,SI2,62.7,59,6.45,6.38,4.02,4227
0.72,VeryGood,E,VS2,59.8,57,5.84,5.89,3.51,3270
0.7,Ideal,E,VS2,61.5,56,5.73,5.68,3.51,2940
0.51,Ideal,D,VS2,62.3,55,5.19,5.12,3.21,1882
1.03,Ideal,E,SI1,62.2,57,6.48,6.42,4.01,5330
1.02,Ideal,D,SI2,61.7,58,6.41,6.49,3.98,5426
0.7,Premium,E,VS1,60.8,60,5.74,5.71,3.48,2822
0.43,Premium,E,VS2,61.6,59,4.84,4.81,2.97,1048
1,Ideal,E,VS2,62.9,55,6.4,6.36,4.01,6871
0.27,Ideal,E,VVS2,61.5,57,4.14,4.18,2.56,620
1.01,Ideal,G,VS2,62,57,6.4,6.44,3.98,6295
0.7,Good,F,SI2,59,57,5.8,5.83,3.43,2100
0.96,Premium,G,SI2,62.7,60,6.29,6.11,3.89,3215
0.3,Ideal,H,VS1,62.2,57,4.28,4.31,2.67,545
0.3,Good,G,VS1,63.3,56,4.26,4.3,2.71,605
0.31,Premium,H,VS1,59.9,60,4.45,4.4,2.65,698
0.53,VeryGood,G,SI1,62.5,55,5.12,5.24,3.24,1267
0.82,Premium,E,VS2,62.6,60,5.97,5.91,3.72,3577
0.42,Premium,G,VVS1,59.8,58,4.85,4.88,2.91,1179
0.41,Ideal,F,SI2,62,53,4.77,4.81,2.97,612
0.4,VeryGood,G,SI2,63.1,59,4.7,4.65,2.95,765
0.5,Good,G,SI1,63.6,55,5.06,5.03,3.21,1286
1.51,Premium,I,VVS2,61.1,60,7.36,7.33,4.49,10817
0.91,Ideal,F,SI1,62.3,56,6.16,6.19,3.85,4267
1.51,VeryGood,G,SI2,60.5,54.6,7.36,7.4,4.46,8637
0.4,Ideal,G,VS1,62.2,56,4.72,4.74,2.94,877
0.7,Ideal,D,SI1,61,59,5.68,5.7,3.47,2804
0.3,Ideal,G,VVS2,61.5,57,4.29,4.33,2.65,684
1.27,Premium,G,SI1,61.4,59,6.94,6.98,4.27,7005
0.7,Good,I,VVS2,59.7,59,5.73,5.77,3.43,2335
0.76,Ideal,D,VVS2,62.3,57,5.87,5.84,3.65,4150
0.25,Ideal,F,VS1,61.1,58,4.04,4.08,2.48,595
0.28,VeryGood,E,VS2,63,59,4.11,4.15,2.6,487
0.31,Premium,I,SI1,60.1,59,4.38,4.41,2.64,418
0.32,Ideal,E,VVS1,61.5,56,4.43,4.45,2.73,1140
0.55,Ideal,F,VVS2,62.3,54,5.29,5.27,3.29,2581
0.3,Ideal,F,IF,62.4,58,4.25,4.28,2.66,886
1.09,Premium,J,VS1,59.3,57,6.79,6.74,4.01,4303
1.08,Premium,G,VS1,62.9,55,6.6,6.53,4.13,6982
0.9,VeryGood,H,VS1,62.5,58,6.08,6.14,3.82,4328
0.91,Good,F,SI1,64,57,6.17,6.08,3.92,3363
0.32,Ideal,J,VVS1,60.8,56,4.47,4.48,2.72,494
0.7,Ideal,G,VS1,60.5,56,5.77,5.79,3.5,3384
0.32,Premium,D,SI1,62.2,60,4.34,4.37,2.71,550
1.01,Good,E,SI2,63.2,59,6.34,6.38,4.02,4479
0.5,Good,E,SI2,63.7,55,5.08,5.03,3.22,1181
0.31,Ideal,H,VVS2,62.2,57,4.32,4.36,2.7,625
0.54,Ideal,H,VVS1,61.2,57,5.21,5.25,3.2,1723
0.63,VeryGood,F,VS2,63,56.2,5.38,5.48,3.42,2032
0.5,Premium,F,VVS2,60.9,58,5.13,5.09,3.11,2016
0.42,Premium,F,VS1,61.8,59,4.81,4.83,2.98,1031
1.18,Premium,G,VVS2,59.7,58,6.9,6.94,4.13,9366
0.4,Premium,D,VVS2,60.7,60,4.74,4.78,2.89,1263
0.39,Ideal,F,VS1,62.3,57,4.69,4.65,2.91,1024
0.36,Ideal,D,VS2,61.7,55,4.58,4.6,2.83,852
0.35,Ideal,I,IF,61.5,55,4.53,4.57,2.8,715
0.59,VeryGood,G,VS1,62,56,5.35,5.39,3.33,1878
0.41,Premium,I,VVS2,62.1,58,4.78,4.76,2.96,1061
0.9,Premium,F,SI1,62.5,62,6.11,6.08,3.81,3881
0.3,Premium,F,IF,60.7,58,4.37,4.33,2.64,1013
0.73,Ideal,F,SI2,62.1,56,5.8,5.76,3.59,2712
1.03,VeryGood,G,SI1,62.6,56,6.41,6.44,4.02,5024
0.35,Ideal,F,VS2,62.4,57,4.51,4.5,2.81,906
0.81,VeryGood,E,SI2,63.7,57,5.86,5.94,3.76,2735
0.35,Premium,D,SI1,60.9,58,4.55,4.52,2.76,827
0.78,VeryGood,F,SI2,62.2,59,5.89,5.94,3.68,2550
0.32,Good,H,SI1,63.7,55,4.33,4.3,2.75,591
0.73,Ideal,D,VVS2,61.3,56,5.79,5.82,3.56,4372
0.4,Good,D,VS1,64,55,4.67,4.7,3,742
0.52,VeryGood,G,VVS1,59.2,58,5.28,5.31,3.14,2045
0.5,VeryGood,H,VS1,61.6,57,5.11,5.13,3.15,1598
0.34,Good,F,IF,59,61,4.59,4.63,2.72,917
0.56,VeryGood,E,IF,59.9,60,5.31,5.38,3.2,2724
0.78,Premium,H,SI1,60,60,5.93,5.92,3.62,2489
0.7,Ideal,E,VS1,61.8,56,5.74,5.69,3.53,2837
0.3,Ideal,E,VVS1,61.8,56,4.31,4.3,2.66,956
1.76,Ideal,F,SI2,62.6,55,7.69,7.64,4.8,9659
0.38,VeryGood,F,VVS1,61.7,56,4.63,4.66,2.86,1087
0.42,Premium,G,VVS1,62.7,58,4.74,4.79,2.99,1179
0.5,Good,D,SI1,63.6,58,5.05,5.08,3.22,1436
0.52,Premium,G,VVS2,61.2,59,5.14,5.16,3.15,1911
0.31,Ideal,H,VVS1,62.2,54,4.36,4.39,2.72,707
0.81,VeryGood,I,VS2,62.6,59.7,5.86,5.92,3.69,2444
0.9,Ideal,G,SI1,61.9,59,6.16,6.19,3.82,4008
0.77,Ideal,F,VS1,62.5,57,5.88,5.9,3.68,3357
0.42,VeryGood,I,VVS2,61.7,55,4.81,4.85,2.98,771
0.8,Good,F,VS1,63.3,55,5.87,5.92,3.73,3116
0.3,Ideal,I,SI1,62.3,56,4.35,4.32,2.7,506
0.31,VeryGood,D,SI2,62.5,55,4.3,4.34,2.7,462
0.53,Ideal,E,VS2,62.7,54,5.15,5.18,3.24,1721
0.72,Ideal,G,SI1,61.4,54,5.79,5.81,3.56,2548
1.03,VeryGood,G,SI2,61.4,54,6.52,6.57,4.02,4466
0.36,Premium,G,IF,61,59,4.55,4.6,2.79,1074
0.3,Premium,H,SI1,62.9,58,4.24,4.22,2.66,540
0.71,VeryGood,J,VS1,62.4,58,5.67,5.7,3.55,2061
1.21,Premium,F,VS2,61.3,58,6.89,6.84,4.21,8139
1,Good,F,VS2,63.7,59,6.27,6.32,4.01,5929
1.06,VeryGood,H,VS2,62.5,57,6.47,6.49,4.05,5783
1.5,VeryGood,H,VS1,63.3,59,7.15,7.1,4.51,9173
1.01,VeryGood,E,VS2,63.2,57,6.38,6.35,4.02,6787
1.09,Ideal,G,VS2,62,54,6.61,6.65,4.11,6905
1.01,Premium,G,SI1,60.2,58,6.48,6.44,3.89,4072
1.05,Premium,D,SI1,59.3,58,6.74,6.68,3.98,6174
0.5,VeryGood,D,VS2,62.8,58,5,5.03,3.15,1635
1.07,Premium,F,SI2,61.8,59,6.57,6.53,4.05,4644
1.25,Premium,H,SI1,60.7,58,7.04,6.99,4.26,5027
0.31,Ideal,H,VVS2,62.4,57,4.32,4.36,2.71,625
0.9,VeryGood,J,VS1,62.4,58,6.15,6.19,3.85,3418
0.9,VeryGood,F,SI2,61.4,62,6.11,6.2,3.78,3770
1.13,Ideal,G,VVS2,61.6,57,6.66,6.75,4.13,10396
0.28,Premium,E,VVS1,61.3,60,4.18,4.21,2.57,646
0.27,Ideal,F,IF,63,55,4.13,4.16,2.61,760
1.14,Ideal,J,VS2,61.4,55,6.74,6.77,4.15,4906
0.31,VeryGood,F,VS1,60.9,56,4.37,4.38,2.66,675
0.33,Ideal,D,VS2,62.1,56,4.47,4.42,2.76,1002
0.41,Premium,H,SI1,60.9,60,4.79,4.83,2.93,683
1.28,Ideal,G,SI1,62.2,56,6.96,6.9,4.31,7598
1.23,Ideal,I,SI2,62.1,56,6.88,6.84,4.26,5269
1.2,Good,D,SI2,63.7,52,6.72,6.68,4.27,6344
